,Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Prod_Deliv_Ratio,CO2_per_unit,Deliveries_per_station,YearMonth,Lag_Deliveries,Rolling_3m_Deliveries,Delivery_Growth_Rate,Price_per_kWh
20,2019,5,Middle East,Model 3,13977,14319,57301.92,75,417,874.26,Official (Quarter),13525,1.0244687701223438,0.06105593966059082,1.0334195933456563,2019-5,8724.0,10163.666666666666,0.6021320495185694,764.0255999999999
21,2016,9,Asia,Model S,13993,14982,118537.35,60,349,732.53,Interpolated (Month),4515,1.0706781962409777,0.048894006140702176,3.0992248062015504,2016-9,7808.0,10846.0,0.7921362704918034,1975.6225000000002
22,2020,1,Asia,Model Y,11592,12383,90750.14,100,567,985.9,Official (Quarter),4971,1.0682367149758454,0.07961721715254784,2.331925165962583,2020-1,13993.0,11131.0,-0.17158579289644826,907.5014
23,2025,9,North America,Model S,17854,18489,80631.84,60,355,950.73,Interpolated (Month),5009,1.0355662596617004,0.05142138568878793,3.564384108604512,2025-9,17079.0,13113.666666666666,0.04537736401428649,1343.864
24,2022,4,North America,Model S,10056,11163,78773.3,120,681,1027.22,Estimated (Region),7885,1.1100835322195703,0.09202006629042372,1.2753329105897273,2022-4,17854.0,14996.333333333334,-0.4367648706172287,656.4441666666667
25,2025,3,Middle East,Cybertruck,5209,5621,65114.79,100,594,464.12,Estimated (Region),4024,1.079093875983874,0.08256893791140367,1.29448310139165,2025-3,13977.0,9303.333333333334,-0.6273163053588038,651.1479
26,2016,12,North America,Cybertruck,5224,5657,87919.34,100,588,460.76,Estimated (Region),13003,1.082886676875957,0.08144953155382711,0.4017534415134969,2016-12,10056.0,11044.666666666666,-0.4805091487669053,879.1934
27,2022,5,Europe,Model 3,12541,13898,56168.86,120,710,1335.62,Official (Quarter),11787,1.1082050873136113,0.096101597352137,1.063968779163485,2022-5,6472.0,11853.0,0.9377317676143386,468.0738333333333
28,2017,6,North America,Model X,6312,6933,117797.61,75,435,411.86,Interpolated (Month),3923,1.098384030418251,0.059405740660608684,1.6089727249553913,2017-6,5224.0,7197.333333333333,0.2082695252679938,1570.6348
29,2023,11,North America,Model S,12717,12755,96953.2,60,344,656.2,Estimated (Region),7161,1.0029881261303766,0.05144649157193258,1.7758692919983243,2023-11,6312.0,8084.333333333333,1.0147338403041823,1615.8866666666665
30,2016,10,Asia,Model S,16449,17908,99184.36,82,460,1134.98,Official (Quarter),9148,1.088698401118609,0.06337837837837838,1.7980979449059904,2016-10,11592.0,14011.333333333334,0.41899585921325055,1209.5653658536585
31,2024,1,Middle East,Model X,15387,16070,88150.59,100,561,1294.82,Official (Quarter),8327,1.0443881198414247,0.08057373988799003,1.8478443617149034,2024-1,5209.0,11524.333333333334,1.9539258974851217,881.5059
32,2020,9,Middle East,Model S,9326,10117,100029.16,100,596,833.74,Official (Quarter),13947,1.0848166416470084,0.08240980527824454,0.6686742668674267,2020-9,15387.0,9974.0,-0.3939039448885423,1000.2916
33,2023,5,Middle East,Cybertruck,11531,12204,85790.7,60,357,617.49,Estimated (Region),13491,1.0583644089844766,0.05059734513274337,0.8547179601215625,2023-5,9326.0,12081.333333333334,0.23643577096289947,1429.845
34,2024,1,North America,Model 3,3819,4249,91284.57,82,482,276.11,Official (Quarter),8146,1.1125949201361613,0.0649823487879501,0.4688190522956052,2024-1,12717.0,7616.0,-0.6996933238971456,1113.2264634146343
35,2015,3,Middle East,Model 3,1899,2125,68958.26,60,343,97.7,Estimated (Region),3941,1.1190100052659295,0.04597647058823529,0.4818573965998478,2015-3,11531.0,7585.333333333333,-0.8353135027317665,1149.3043333333333
36,2023,3,Europe,Model S,17330,18767,67727.18,82,490,1273.75,Estimated (Region),3343,1.0829197922677438,0.06787179623807747,5.1839664971582415,2023-3,12541.0,12114.333333333334,0.3818674746830397,825.9412195121951
37,2019,8,Asia,Model Y,15165,16539,94101.31,60,342,777.96,Interpolated (Month),4731,1.0906033630069238,0.047037910393615094,3.205453392517438,2019-8,16449.0,14402.0,-0.07805945650191504,1568.3551666666667
38,2017,12,Europe,Model S,13031,13160,51340.88,60,354,691.95,Official (Quarter),9296,1.0098994704934388,0.05257978723404256,1.4017857142857142,2017-12,17330.0,14300.666666666666,-0.24806693594922102,855.6813333333333
39,2023,6,Europe,Model S,13583,14019,55191.14,100,594,1210.25,Estimated (Region),13172,1.0320989472134285,0.08632926742278337,1.0312025508654723,2023-6,13031.0,14648.0,0.04236052490215636,551.9114
40,2022,7,Europe,Model S,11182,11651,57416.91,60,333,558.54,Estimated (Region),6494,1.0419424074405295,0.04793923268388979,1.7218971358176778,2022-7,13583.0,12598.666666666666,-0.17676507398954577,956.9485000000001
41,2019,4,Asia,Model X,11163,12314,69143.22,82,481,805.41,Estimated (Region),3619,1.1031084833826033,0.06540604190352445,3.084553744128212,2019-4,15165.0,14259.0,-0.26389713155291794,843.21
42,2023,1,North America,Model S,9835,9882,92861.79,82,480,708.12,Interpolated (Month),8000,1.0047788510421962,0.0716575591985428,1.229375,2023-1,3819.0,8790.333333333334,1.5752814873003405,1132.4608536585365
43,2017,8,Asia,Model X,7581,8402,95971.06,100,585,665.23,Official (Quarter),3100,1.1082970584355627,0.07917519638181386,2.445483870967742,2017-8,11163.0,11303.0,-0.3208814834721849,959.7106
44,2025,1,North America,Model X,6076,6746,50781.2345,120,692,630.69,Official (Quarter),12525,1.1102699144173798,0.09349095760450639,0.48510978043912173,2025-1,9835.0,6576.666666666667,-0.38220640569395015,423.17695416666663
45,2018,12,North America,Cybertruck,8427,9430,115869.46,82,476,601.69,Estimated (Region),11899,1.1190221905779043,0.06380593849416756,0.7082107740146231,2018-12,6076.0,8112.666666666667,0.3869321922317315,1413.0421951219514
46,2024,5,North America,Cybertruck,14312,14795,83375.67,60,333,714.88,Estimated (Region),7740,1.0337479038569033,0.04831902669820885,1.849095607235142,2024-5,8427.0,9605.0,0.6983505399311736,1389.5945
47,2021,2,Middle East,Model 3,14163,14499,98168.24,100,556,1181.19,Interpolated (Month),8104,1.0237237873331921,0.08146699772398097,1.747655478775913,2021-2,1899.0,9197.666666666666,6.458135860979463,981.6824
48,2025,9,North America,Model 3,11340,11791,81180.36,60,351,597.05,Estimated (Region),7510,1.0397707231040565,0.05063607836485454,1.5099866844207723,2025-9,14312.0,11359.666666666666,-0.20765790944661822,1353.006
49,2025,11,Europe,Cybertruck,9171,10536,97489.87,100,586,806.13,Interpolated (Month),5555,1.1488387307818122,0.07651195899772209,1.650945094509451,2025-11,11182.0,11312.0,-0.17984260418529785,974.8987
50,2024,9,Asia,Model X,8409,8777,103557.81,100,588,741.67,Official (Quarter),6509,1.0437626352717326,0.08450153811097186,1.2919035182055616,2024-9,7581.0,9051.0,0.10922041946972705,1035.5781
51,2016,9,Europe,Model X,14559,15638,107977.45,60,340,742.51,Official (Quarter),5085,1.0741122329830346,0.04748113569510167,2.8631268436578172,2016-9,9171.0,11637.333333333334,0.5875040889761203,1799.6241666666667
52,2024,2,Asia,Cybertruck,17392,19926,55857.67,75,446,1163.52,Interpolated (Month),4513,1.1456991720331187,0.05839205058717254,3.8537558165300245,2024-2,8409.0,11127.333333333334,1.0682601974075396,744.7689333333333
53,2015,3,North America,Cybertruck,5716,6522,116775.0,60,357,306.09,Interpolated (Month),7441,1.1410076976906929,0.046931922723091074,0.7681763203870448,2015-3,11340.0,10456.0,-0.4959435626102293,1946.25
54,2015,4,Asia,Model Y,7633,8492,102818.0,82,455,520.95,Estimated (Region),13830,1.112537665400236,0.06134597268016958,0.5519161243673174,2015-4,17392.0,11144.666666666666,-0.5611200551977921,1253.878048780488
55,2018,7,North America,Model S,7131,8189,97902.0,82,489,523.06,Official (Quarter),4710,1.1483662880381433,0.06387348882647453,1.5140127388535032,2018-7,5716.0,8062.333333333333,0.24755073477956624,1193.9268292682927
56,2025,3,Asia,Model X,11956,13742,58158.12,120,710,1273.31,Estimated (Region),8997,1.1493810639009703,0.09265827390481735,1.3288874069134156,2025-3,7633.0,12327.0,0.5663566094589283,484.651
57,2017,4,Asia,Cybertruck,5651,5846,50781.2345,75,439,372.12,Interpolated (Month),14602,1.0345071668731198,0.06365378036264112,0.387001780578003,2017-4,11956.0,8413.333333333334,-0.5273502843760455,677.0831266666667
58,2018,8,North America,Model X,1240,1336,112760.23,82,459,85.37,Official (Quarter),3270,1.0774193548387097,0.0638997005988024,0.37920489296636084,2018-8,7131.0,4695.666666666667,-0.8261113448324218,1375.124756097561
59,2025,5,North America,Model X,11008,11674,110366.63,75,419,691.85,Estimated (Region),9530,1.060501453488372,0.0592641768031523,1.1550891920251836,2025-5,1240.0,6459.666666666667,7.877419354838709,1471.5550666666668
60,2022,12,Europe,Cybertruck,8171,9073,60650.35,82,488,598.12,Official (Quarter),13713,1.1103904050911761,0.06592306844483632,0.5958579450156786,2022-12,14559.0,10633.666666666666,-0.4387663987911258,739.6384146341463
61,2018,2,Middle East,Cybertruck,15273,15975,52818.06,100,579,1326.46,Estimated (Region),7772,1.0459634649381262,0.08303348982785602,1.9651312403499743,2018-2,14163.0,10445.0,0.07837322601143826,528.1806
62,2021,5,Asia,Model S,9541,9929,109857.66,100,567,811.46,Official (Quarter),14676,1.040666596792789,0.08172625642058616,0.6501090215317525,2021-5,5651.0,9049.333333333334,0.6883737391612104,1098.5766
63,2018,5,Asia,Model S,5894,6491,77715.61,120,705,623.29,Estimated (Region),8450,1.1012894468951475,0.09602372515791095,0.6975147928994083,2018-5,9541.0,7028.666666666667,-0.38224504768892154,647.6300833333333
64,2015,7,North America,Cybertruck,4405,4472,60700.14,60,337,222.67,Official (Quarter),4928,1.0152099886492623,0.04979203935599284,0.8938717532467533,2015-7,11008.0,5551.0,-0.5998364825581395,1011.669
65,2021,8,North America,Model S,7933,8430,85597.72,82,470,559.28,Official (Quarter),6248,1.0626496911634942,0.06634400948991696,1.269686299615877,2021-8,4405.0,7782.0,0.8009080590238367,1043.8746341463416
66,2024,8,Europe,Model 3,11880,13074,62262.24,75,430,766.26,Estimated (Region),10781,1.1005050505050504,0.058609453877925655,1.101938595677581,2024-8,8171.0,11536.666666666666,0.4539224085179292,830.1632
67,2020,3,North America,Model X,11918,13671,60898.48,60,336,600.67,Interpolated (Month),5541,1.1470884376573252,0.04393753200204813,2.150875293268363,2020-3,7933.0,8085.333333333333,0.5023320307575949,1014.9746666666667
68,2019,1,North America,Model 3,13075,13668,87272.96,120,693,1359.15,Estimated (Region),10206,1.0453537284894838,0.0994402985074627,1.2811091514795219,2019-1,11918.0,10975.333333333334,0.09708004698774952,727.2746666666667
69,2015,4,Asia,Model S,13598,15097,106243.67,100,564,1150.39,Official (Quarter),5129,1.1102367995293425,0.07619990726634432,2.6511990641450573,2015-4,5894.0,9677.666666666666,1.307091957923312,1062.4367
70,2019,4,Middle East,Model X,13892,15134,101770.68,100,560,1166.93,Interpolated (Month),13099,1.0894039735099337,0.07710651513149201,1.0605389724406444,2019-4,15273.0,14442.666666666666,-0.09042100438682643,1017.7067999999999
71,2017,8,North America,Model S,11311,12214,58077.62,60,348,590.43,Estimated (Region),4406,1.0798337901158164,0.04834042901588341,2.567181116659101,2017-8,13075.0,12101.333333333334,-0.1349139579349904,967.9603333333333
72,2018,8,Asia,Cybertruck,6880,7303,64678.32,120,718,740.98,Interpolated (Month),10747,1.0614825581395348,0.10146241270710667,0.6401786545082349,2018-8,13598.0,8790.666666666666,-0.49404324165318425,538.986
73,2024,12,Asia,Model S,10239,11592,94708.94,120,683,1048.99,Estimated (Region),8109,1.1321418107237036,0.09049258109040718,1.2626711061783205,2024-12,6880.0,10239.0,0.4882267441860466,789.2411666666667
74,2022,10,Middle East,Model 3,8455,9204,85264.14,60,349,442.62,Estimated (Region),14674,1.0885866351271436,0.048089960886571054,0.5761891781382036,2022-10,13892.0,12540.0,-0.39137633170169883,1421.069
75,2020,9,Europe,Model 3,6496,6966,112078.21,75,426,415.09,Interpolated (Month),11996,1.0723522167487685,0.05958799885156474,0.541513837945982,2020-9,11880.0,8849.0,-0.45319865319865316,1494.3761333333334
76,2017,1,North America,Model S,6113,6850,69513.19,60,336,308.1,Estimated (Region),14489,1.1205627351545886,0.04497810218978102,0.42190627372489475,2017-1,11311.0,10166.333333333334,-0.45955264786491024,1158.5531666666668
77,2021,10,Middle East,Model X,11128,11881,78561.41,60,350,584.22,Official (Quarter),5998,1.067667145938174,0.04917262856661898,1.8552850950316773,2021-10,8455.0,11158.333333333334,0.31614429331756355,1309.3568333333335
78,2016,1,Asia,Cybertruck,8067,8485,75972.71,75,449,543.31,Interpolated (Month),3481,1.051816040659477,0.06403182086034177,2.3174375179546107,2016-1,10239.0,8395.333333333334,-0.21213009082918255,1012.9694666666668
79,2016,10,North America,Model S,6258,7036,69706.48,60,356,334.18,Official (Quarter),4350,1.1243208692873123,0.04749573621375782,1.4386206896551723,2016-10,6113.0,7894.0,0.023719941109111797,1161.7746666666667
80,2023,12,Asia,Model S,5649,6211,64983.67,120,685,580.43,Estimated (Region),5372,1.09948663480262,0.09345194010626308,1.0515636634400596,2023-12,8067.0,7985.0,-0.29973968017850505,541.5305833333333
81,2015,12,Asia,Model Y,5719,6486,66096.82,82,459,393.75,Official (Quarter),3373,1.1341143556565834,0.06070767807585569,1.6955232730506966,2015-12,5649.0,6478.333333333333,0.012391573729863659,806.0587804878049
82,2016,10,North America,Model X,9922,10370,91885.02,120,677,1007.58,Official (Quarter),6599,1.0451521870590608,0.09716297010607522,1.5035611456281255,2016-10,6258.0,7431.0,0.5854905720677532,765.7085000000001
83,2021,2,Asia,Cybertruck,7648,8340,61475.22,60,352,403.81,Interpolated (Month),6614,1.090481171548117,0.048418465227817745,1.156335046870275,2021-2,5719.0,6338.666666666667,0.3372967301975869,1024.587
84,2022,9,Middle East,Model Y,6952,7464,103792.75,82,460,479.69,Estimated (Region),6233,1.0736478711162256,0.06426714898177921,1.1153537622332745,2022-9,11128.0,8845.0,-0.3752695902228612,1265.7652439024391
85,2024,7,Europe,Model 3,1492,1661,88072.56,75,445,99.59,Interpolated (Month),9522,1.1132707774798927,0.0599578567128236,0.15668977105650073,2024-7,6496.0,6622.666666666667,-0.770320197044335,1174.3008
86,2020,10,Middle East,Cybertruck,18392,19806,68744.2,120,687,1895.3,Interpolated (Month),8649,1.0768812527185734,0.09569322427547208,2.1264886114001618,2020-10,6952.0,12157.333333333334,1.6455696202531644,572.8683333333333
87,2017,5,Europe,Model X,8451,9514,50799.26,82,479,607.2,Interpolated (Month),14643,1.125783930895752,0.06382173638848014,0.5771358328211432,2017-5,1492.0,5479.666666666667,4.664209115281501,619.5031707317073
88,2020,9,North America,Model 3,11467,13072,100397.17,120,705,1212.64,Official (Quarter),5628,1.1399668614284468,0.09276621787025705,2.037491115849325,2020-9,9922.0,9215.666666666666,0.15571457367466235,836.6430833333333
89,2019,8,North America,Model S,11480,11915,54709.92,82,461,793.84,Interpolated (Month),13946,1.0378919860627178,0.06662526227444399,0.8231751039724652,2019-8,11467.0,10956.333333333334,0.0011336879741867811,667.1941463414634
90,2019,9,Europe,Model S,9082,9942,88005.83,100,556,757.44,Estimated (Region),7509,1.094692798942964,0.07618587809293906,1.2094819549873486,2019-9,8451.0,6341.666666666667,0.07466572003313221,880.0583
91,2023,1,Europe,Model Y,14836,16172,97728.31,75,449,999.2,Interpolated (Month),5788,1.0900512267457536,0.06178580262181549,2.5632342778161714,2023-1,9082.0,10789.666666666666,0.6335608896718785,1303.0441333333333
92,2024,3,North America,Model X,8283,8391,70066.15,75,441,547.92,Interpolated (Month),4819,1.0130387540746106,0.06529853414372541,1.718821332226603,2024-3,11480.0,10410.0,-0.2784843205574913,934.2153333333332
93,2015,12,North America,Model 3,10586,11907,85522.74,120,660,1048.01,Interpolated (Month),6444,1.1247874551294161,0.08801629293692785,1.6427684667908131,2015-12,8283.0,10116.333333333334,0.2780393577206326,712.6895000000001
94,2020,8,Europe,Cybertruck,10062,10568,103557.46,82,468,706.35,Estimated (Region),8810,1.0502882130789108,0.0668385692657078,1.14211123723042,2020-8,14836.0,11326.666666666666,-0.321784847667835,1262.8958536585367
95,2021,11,Middle East,Model S,11748,13383,107986.47,120,679,1196.53,Official (Quarter),5847,1.1391726251276812,0.08940671000523051,2.009235505387378,2021-11,18392.0,12364.0,-0.36124401913875603,899.88725
96,2023,1,Middle East,Model X,6197,6673,66969.32,82,458,425.73,Official (Quarter),3778,1.0768113603356462,0.06379889105349917,1.6402858655373214,2023-1,11748.0,12112.333333333334,-0.4725059584610146,816.699024390244
97,2023,11,North America,Model X,5365,6034,71688.78,60,358,288.1,Interpolated (Month),5155,1.1246971109040074,0.04774610540271793,1.040737148399612,2023-11,10586.0,8078.0,-0.4931985641413187,1194.8129999999999
98,2025,8,Asia,Model S,11848,12443,104498.21,120,711,1263.59,Estimated (Region),8227,1.050219446320054,0.10155026922767821,1.4401361371095174,2025-8,7648.0,8405.0,0.5491631799163179,870.8184166666667
99,2022,6,North America,Model Y,10312,11133,106390.66,82,483,747.1,Estimated (Region),9976,1.0796159813809154,0.06710679960477858,1.033680834001604,2022-6,5365.0,8754.333333333334,0.9220876048462254,1297.4470731707318
100,2016,3,Middle East,Model Y,5249,5829,110395.8,120,673,529.89,Estimated (Region),4148,1.1104972375690607,0.09090581574884199,1.2654291224686596,2016-3,6197.0,7731.333333333333,-0.15297724705502658,919.965
101,2025,12,Europe,Model 3,16501,18884,108207.45,100,573,1418.26,Interpolated (Month),11849,1.1444154899703047,0.07510379156958272,1.3926069710524094,2025-12,10062.0,13799.666666666666,0.6399324190021864,1082.0745
102,2019,3,Middle East,Model Y,13191,14990,50781.2345,120,708,1400.88,Official (Quarter),14380,1.1363808657417938,0.09345430286857906,0.9173157162726009,2019-3,5249.0,8212.333333333334,1.5130501047818634,423.17695416666663
103,2021,3,Europe,Model 3,6907,6946,58613.65,100,599,620.59,Official (Quarter),6782,1.0056464456348633,0.08934494673193205,1.0184311412562665,2021-3,16501.0,11156.666666666666,-0.5814193079207322,586.1365000000001
104,2021,4,Europe,Model 3,11164,11825,84455.13,120,712,1192.32,Official (Quarter),7954,1.0592081691150126,0.10083044397463002,1.4035705305506663,2021-4,6907.0,11524.0,0.616331258143912,703.7927500000001
105,2020,2,Europe,Model Y,13825,15834,83894.92,120,663,1374.9,Official (Quarter),9620,1.1453164556962026,0.08683213338385752,1.437110187110187,2020-2,11164.0,10632.0,0.2383554281619491,699.1243333333333
106,2020,5,Asia,Model S,5784,6156,70108.04,100,586,508.41,Estimated (Region),8440,1.0643153526970954,0.08258771929824561,0.6853080568720379,2020-5,11848.0,8426.666666666666,-0.511816340310601,701.0803999999999
107,2019,6,North America,Model 3,12341,12850,94737.55,120,680,1258.78,Official (Quarter),14972,1.0412446317154203,0.09795953307392996,0.824271974352124,2019-6,10312.0,9339.333333333334,0.19676105508145847,789.4795833333334
108,2021,10,Europe,Model Y,12459,12777,112819.33,75,437,816.69,Official (Quarter),13582,1.0255237177943655,0.06391876027236441,0.9173170372551906,2021-10,13825.0,12482.666666666666,-0.09880650994575046,1504.2577333333334
109,2016,10,Asia,Model Y,12205,12670,75329.72,75,430,787.22,Official (Quarter),3547,1.0380991396968455,0.06213259668508288,3.440936002255427,2016-10,5784.0,9945.666666666666,1.1101313969571232,1004.3962666666666
110,2020,3,Asia,Model Y,10062,11450,68947.85,82,466,703.33,Official (Quarter),9827,1.1379447425959053,0.06142620087336245,1.023913707133408,2020-3,12205.0,9350.333333333334,-0.1755837771405162,840.8274390243903
111,2020,2,North America,Model 3,11404,11966,72021.13,100,575,983.59,Interpolated (Month),14288,1.04928095405121,0.08219872973424704,0.7981522956326987,2020-2,12341.0,11352.333333333334,-0.07592577586905436,720.2113
112,2025,6,Asia,Model 3,9808,10413,100126.43,120,666,979.82,Estimated (Region),6245,1.061684339314845,0.09409584173629118,1.5705364291433146,2025-6,10062.0,10691.666666666666,-0.02524349035976947,834.3869166666666
113,2019,9,Middle East,Model X,8123,8610,116300.71,100,570,694.52,Interpolated (Month),12262,1.0599532192539702,0.080664343786295,0.6624531071603328,2019-9,13191.0,8854.333333333334,-0.38420134940489725,1163.0071
114,2016,12,North America,Model S,9646,9877,51634.65,120,705,1020.06,Interpolated (Month),8502,1.0239477503628447,0.1032762984711957,1.1345565749235473,2016-12,11404.0,11130.333333333334,-0.15415643633812692,430.28875
115,2025,10,Asia,Model X,5013,5164,54937.4,75,441,331.61,Official (Quarter),5996,1.0301216836225813,0.0642157242447715,0.8360573715810541,2025-10,9808.0,8294.333333333334,-0.4888866231647635,732.4986666666667
116,2021,8,Asia,Model 3,10980,11716,105290.52,75,435,716.44,Official (Quarter),4357,1.0670309653916212,0.06115056333219529,2.5200826256598576,2021-8,5013.0,8600.333333333334,1.1903052064631958,1403.8736000000001
117,2022,11,Middle East,Model Y,21296,23581,57673.97,60,352,1124.43,Estimated (Region),4630,1.1072971450037565,0.04768372842542725,4.599568034557236,2022-11,8123.0,14203.333333333334,1.621691493290656,961.2328333333334
118,2018,5,Middle East,Cybertruck,7086,8012,90388.71,120,680,722.77,Official (Quarter),12636,1.1306802145074795,0.0902109335996006,0.5607787274453941,2018-5,21296.0,12168.333333333334,-0.6672614575507138,753.2392500000001
119,2016,4,Middle East,Model Y,12146,12776,118292.71,120,698,1271.69,Official (Quarter),12869,1.0518689280421538,0.0995374139010645,0.943818478514259,2016-4,7086.0,13509.333333333334,0.7140841095117132,985.7725833333334
120,2019,2,Middle East,Cybertruck,17194,18978,96293.99,75,413,1065.17,Interpolated (Month),7419,1.1037571245783413,0.0561265676045948,2.3175630138832726,2019-2,12146.0,12142.0,0.41561007739173395,1283.9198666666668
121,2023,1,North America,Model 3,18636,20752,65890.09,82,460,1285.88,Official (Quarter),4937,1.1135436789010518,0.06196414803392444,3.774762001215313,2023-1,9646.0,13228.666666666666,0.9319925357661207,803.5376829268292
122,2023,5,North America,Model Y,14130,16020,52154.82,75,440,932.58,Official (Quarter),12105,1.1337579617834395,0.05821348314606742,1.1672862453531598,2023-5,18636.0,14137.333333333334,-0.2417900837089504,695.3976
123,2020,2,Europe,Cybertruck,19298,21732,119249.2584,100,571,1652.87,Interpolated (Month),6843,1.1261270597989428,0.0760569666850727,2.820108139704808,2020-2,12459.0,15194.0,0.5489204591058672,1192.492584
124,2019,6,Middle East,Model S,6954,7148,63176.25,100,559,583.09,Estimated (Region),3684,1.0278976128846706,0.08157386681589256,1.8876221498371335,2019-6,17194.0,12098.0,-0.595556589507968,631.7625
125,2021,7,Europe,Model S,1889,1946,81630.83,120,707,200.33,Estimated (Region),10085,1.0301746956061408,0.10294450154162385,0.18730788299454634,2021-7,19298.0,11215.333333333334,-0.9021142087262929,680.2569166666667
126,2019,7,Middle East,Cybertruck,13064,14557,115532.36,100,597,1169.88,Interpolated (Month),5097,1.1142835272504592,0.08036545991619153,2.563076319403571,2019-7,6954.0,12404.0,0.8786310037388554,1155.3236
127,2023,12,Middle East,Cybertruck,8570,9786,60142.91,75,419,538.62,Estimated (Region),13352,1.1418903150525088,0.05503985285101165,0.6418514080287597,2023-12,13064.0,9529.333333333334,-0.34399877526025724,801.9054666666667
